"Code","Date","Start","High","Low","End","Transaction"
000020.KS,20010313,7500.00,7689.98,7349.98,7409.97,338800
000020.KS,20010315,7210.00,7500.00,7200.01,7420.02,454700
000020.KS,20010316,7420.02,7519.98,7349.98,7399.98,235800
000020.KS,20010319,7349.98,7389.99,7210.00,7270.00,253800
000020.KS,20010320,7559.99,7770.01,7310.01,7430.01,441800
000020.KS,20010321,7430.01,7550.00,7300.02,7409.97,323400
000020.KS,20010322,7430.01,7500.00,7349.98,7370.01,218800
000020.KS,20010323,7320.00,7530.02,7320.00,7360.02,257500
000020.KS,20010326,7490.01,7590.02,7399.98,7569.99,339300
000020.KS,20010327,7670.00,7760.02,7449.99,7500.00,345500
000020.KS,20010328,7550.00,7600.01,7399.98,7399.98,350700
000020.KS,20010329,7300.00,7300.00,7130.00,7140.00,201500
000020.KS,20010330,7110.00,7220.00,6900.00,7050.00,198000
000020.KS,20010402,7120.00,7200.00,6880.00,7000.00,185000
000020.KS,20010403,6900.00,7000.00,6670.00,6700.00,220500
000020.KS,20010404,6680.00,6790.00,6500.00,6610.00,143500
000020.KS,20010406,6800.00,6900.00,6620.00,6640.00,170500
000020.KS,20010409,6700.00,6740.00,6510.00,6590.00,211500
000020.KS,20010410,6720.00,6760.00,6550.00,6550.00,129500
000020.KS,20010411,6610.00,7190.00,6600.00,6900.00,1011500
000020.KS,20010412,6890.00,6930.00,6800.00,6850.00,265000
000020.KS,20010413,6900.00,7070.00,6860.00,6970.00,285000
000020.KS,20010416,6860.00,7200.00,6860.00,7070.00,453000
000020.KS,20010417,7070.00,7190.00,6900.00,7030.00,263500
000020.KS,20010418,7110.00,7150.00,7060.00,7140.00,427000
000020.KS,20010419,7240.00,7270.00,7140.00,7190.00,448000
000020.KS,20010420,7190.00,7270.00,7040.00,7050.00,280500
000020.KS,20010423,7100.00,7160.00,6960.00,7060.00,245000
000020.KS,20010424,7100.00,7380.00,7030.00,7070.00,1252500
000020.KS,20010425,7010.00,7150.00,7000.00,7050.00,365500
000020.KS,20010426,7010.00,7150.00,7000.00,7050.00,365500
000020.KS,20010427,7150.00,7150.00,7000.00,7040.00,133500
000020.KS,20010430,7040.00,7180.00,7020.00,7130.00,488000
000020.KS,20010502,7250.00,7700.00,7140.00,7400.00,1485500
000020.KS,20010503,7470.00,7470.00,7210.00,7420.00,330000
000020.KS,20010504,7410.00,7480.00,7300.00,7370.00,270500
000020.KS,20010507,7340.00,7650.00,7340.00,7500.00,433000
000020.KS,20010508,7500.00,7600.00,7430.00,7500.00,302500
000020.KS,20010509,7600.00,7670.00,7330.00,7330.00,324000
000020.KS,20010510,7210.00,7460.00,7210.00,7390.00,247000
000020.KS,20010511,7470.00,7470.00,7310.00,7360.00,152000
000020.KS,20010514,7360.00,7500.00,7360.00,7470.00,195000
000020.KS,20010515,7600.00,7600.00,7470.00,7570.00,423500
000020.KS,20010516,7650.00,7820.00,7520.00,7520.00,786500
000020.KS,20010517,8100.00,8200.00,7740.00,7850.00,1204500
000020.KS,20010518,7750.00,8040.00,7700.00,7960.00,632500
000020.KS,20010521,8350.00,8350.00,8050.00,8250.00,667500
000020.KS,20010522,8350.00,8680.00,8100.00,8460.00,1799000
000020.KS,20010523,8400.00,8430.00,8110.00,8170.00,592000
000020.KS,20010524,8170.00,8170.00,7900.00,8020.00,747000
000020.KS,20010525,8020.00,8140.00,7960.00,8060.00,385000
000020.KS,20010528,8220.00,9260.00,8090.00,8700.00,4659500
000020.KS,20010529,8750.00,8800.00,8390.00,8400.00,1254000
000020.KS,20010530,8510.00,8560.00,8350.00,8380.00,591500
000020.KS,20010531,8350.00,9630.00,8350.00,9630.00,5790000
000020.KS,20010601,9830.00,11050.00,9750.00,11050.00,7784500
000020.KS,20010604,11200.00,11500.00,10600.00,11050.00,5303500
000020.KS,20010605,11400.00,11500.00,10600.00,11150.00,4707500
000020.KS,20010607,11400.00,11550.00,11050.00,11200.00,3509000
000020.KS,20010608,10950.00,11750.00,10300.00,11550.00,3330000
000020.KS,20010611,11450.00,11900.00,11350.00,11500.00,3432000
000020.KS,20010612,11600.00,11900.00,11350.00,11850.00,2828000
000020.KS,20010613,12000.00,12100.00,11700.00,11800.00,2016000
000020.KS,20010614,11900.00,12050.00,11300.00,12050.00,9297500
000020.KS,20010615,12200.00,12250.00,11350.00,11650.00,4280500
000020.KS,20010618,11700.00,11800.00,11300.00,11650.00,2186000
000020.KS,20010619,11850.00,12000.00,11200.00,11450.00,3080500
000020.KS,20010620,11450.00,11550.00,10800.00,10950.00,1317500
000020.KS,20010621,10800.00,12550.00,10350.00,11900.00,5284000
000020.KS,20010622,11600.00,11850.00,11600.00,11750.00,1014500
000020.KS,20010625,11450.00,11700.00,11350.00,11400.00,1025000
000020.KS,20010626,11400.00,11400.00,11200.00,11250.00,772500
000020.KS,20010627,11400.00,11600.00,11000.00,11250.00,1722500
000020.KS,20010628,11300.00,11350.00,10800.00,11050.00,1020000
000020.KS,20010629,11050.00,11200.00,10550.00,11150.00,1829500
000020.KS,20010702,11250.00,11600.00,11150.00,11550.00,1901000
000020.KS,20010703,11550.00,11600.00,11250.00,11250.00,952500
000020.KS,20010704,11150.00,11400.00,11150.00,11400.00,755500
000020.KS,20010705,11400.00,11850.00,11200.00,11550.00,1913500
000020.KS,20010706,11600.00,12200.00,10200.00,10300.00,8080000
000020.KS,20010709,11700.00,11800.00,11000.00,11800.00,10435500
000020.KS,20010710,11900.00,12450.00,11050.00,11050.00,6557000
000020.KS,20010711,10500.00,10600.00,9710.00,9750.00,2927500
000020.KS,20010712,9800.00,10100.00,9710.00,9800.00,1816000
000020.KS,20010713,9800.00,9890.00,9130.00,9200.00,1522500
000020.KS,20010716,8950.00,9160.00,8670.00,8850.00,1585500
000020.KS,20010718,9050.00,9150.00,8500.00,8500.00,1268000
000020.KS,20010719,8370.00,8620.00,8200.00,8200.00,977500
000020.KS,20010720,8210.00,8340.00,7840.00,7840.00,895000
000020.KS,20010723,7710.00,7890.00,7180.00,7250.00,1073000
000020.KS,20010724,7350.00,7940.00,7310.00,7550.00,2094000
000020.KS,20010725,7310.00,7600.00,7260.00,7350.00,816000
000020.KS,20010726,7510.00,7720.00,7450.00,7500.00,665000
000020.KS,20010727,7780.00,8100.00,7660.00,7800.00,1419000
000020.KS,20010730,7900.00,8500.00,7620.00,8010.00,2164000
000020.KS,20010731,8050.00,8190.00,7920.00,8050.00,794500
000020.KS,20010801,8150.00,8480.00,8140.00,8250.00,1417500
000020.KS,20010802,8250.00,8250.00,8120.00,8130.00,616500
000020.KS,20010803,8200.00,8340.00,8000.00,8100.00,553000
000020.KS,20010806,8050.00,8180.00,8000.00,8100.00,527500
000020.KS,20010807,8000.00,8140.00,7860.00,8000.00,483500
000020.KS,20010808,8080.00,8150.00,7970.00,8080.00,474000
000020.KS,20010809,8050.00,8050.00,7820.00,7840.00,441000
000020.KS,20010810,7920.00,8040.00,7850.00,7860.00,466500
000020.KS,20010813,7900.00,8050.00,7900.00,7980.00,350000
000020.KS,20010814,7980.00,8050.00,7910.00,8050.00,749500
000020.KS,20010816,8090.00,8360.00,8060.00,8190.00,1351500
000020.KS,20010817,8190.00,8500.00,8070.00,8250.00,1335000
000020.KS,20010820,8210.00,8230.00,8050.00,8050.00,478500
000020.KS,20010821,8060.00,8150.00,7980.00,8030.00,502000
000020.KS,20010822,8000.00,8120.00,7980.00,8060.00,528000
000020.KS,20010823,8100.00,8700.00,8100.00,8300.00,3405000
000020.KS,20010824,8500.00,9400.00,8450.00,9000.00,7060500
000020.KS,20010827,9290.00,9290.00,8810.00,9000.00,2374000
000020.KS,20010828,9200.00,9200.00,8670.00,8900.00,1363500
